question,output,correct_answer
What does Kennywood showcase during the holiday season?,"Taking a Photo to Remember at Their Towering Tree. 
Answer: The context does not provide a specific answer to this question. However, it can be inferred that the event is called ""Holiday Lights"" and it takes place in November and December. It is an annual event that features festive decorations, food, drinks, rides, and entertainment. Families and friends are encouraged to attend and participate in making it a tradition. There is also mention of a similar event happening at a different location called the ""Pittsburgh Botanical Garden.""",Millions of festive lights
What is the mission of Pittsburgh's Environmental Services?,"Environmental Services' mission is ""to establish, maintain, promote and enforce a system of refuse collection and disposal that protects the health, safety and welfare of the public and the environment."" This can be inferred from the statement that the department aims to create a ""refuse collection system"" and ""promote environmentally-friendly disposal.""","To establish and maintain a refuse and recycling system that promotes a safe, litter-free and environmentally friendly City"
What services does Environmental Services provide to Pittsburgh residents?,Environmental Services provides collection and disposal services for residents in Pittsburgh. They also work to maintain and improve the city's infrastructure and promote a clean and safe environment.,"Collection services for trash, recycling, and yard debris"
What is required of special event organizers expecting more than 200 individuals per day?,"If the event is expected to exceed 200 people, the organizers are required to utilize the services provided by Pittsburgh’s Business Event Team. This includes services such as housing reservations for attendees, recommendations for venues and suppliers, and assistance with promotions and community outreach. The team also offers a marketing toolkit to aid in event planning and execution. Additionally, they can help connect companies with community suppliers to enhance the overall event experience.",To separate recyclables from municipal waste
What is the ten-digit phone number for Pittsburgh's 311 Response Center?,The 10-Digit Phone Number is 412 255 2621.,412-255-2621
Can service requests to 311 be sent anonymously?,"The answer to the question is no, you cannot send a request anonymously. The context clearly states that all requests made through the 311 system will have their email addresses associated with them and will receive a tracking number for their request. It also mentions that a representative from 311 will respond to your request and provide an ID number if necessary. Therefore, it is not possible to send an anonymous request through 311. 
Follow-up questions:
1. What is the purpose of providing a Tracking Number in response to a 311 request? Answer: The purpose is to keep track of the status and progress of a specific request, making it easier for both the requester and 311 to follow up and ensure the request is being addressed in a timely manner.","Yes, if you do not require a response"
How can residents reserve a park shelter in Pittsburgh?,The residents can reserve the shelter by visiting the website or by making a phone call to the city's Parks and Recreation department. They can also submit a service request if they have any additional questions or concerns.,Through the online Facility Rental website
What email address should be used to schedule a park shelter reservation if unable to use the online service?,The operator's license number and the schedule of rates must be posted at each entrance in a sign that is easily readable by potential customers.,dpwfields&parkshelters@pittsburghpa.gov
"What types of licenses does the Department of Permits, Licenses, and Inspections issue?","Business, Trade and Contractor licenses","Not specifically listed in the text, just mentioned generally"
What is the name of Pittsburgh's central hub for residents to apply for business licenses and permits?,"According to the paragraph, the Pittsburgh Central Business District (CBD) serves as the city’s central business district and is home to more than 2,000 businesses. It is also mentioned that the CBD is a one-stop-shop for all business licensing and permitting needs. Therefore, it can be logically inferred that this central location is referred to as ""Pittsburgh's Central Hub for Business Licenses and Permits.""",OneStopPGH
How many parks does Pittsburgh's park system include?,"2023-24
Answer: 176
<|endofgeneration|>",176 parks
How many acres of parkland does Pittsburgh's park system cover?,"these lots are not maintained)
Answer: The paragraph does not provide information about the total acreage of all the parks in Pittsburgh. Therefore, it is not possible to determine the exact number of acres covered.","Nearly 3,800 acres"
What are the different types of parks in Pittsburgh's system?,"1. City parks
2. Regional parks 
3. Community and Neighborhood Parks","Regional parks, community parks, and neighborhood parks"
Where is the Bank Tower located according to the contact information?,".0222 (814) 267-9000 (PA)
Answer: Pittsburgh, Pennsylvania.","307 Fourth Avenue – Floor 2, Pittsburgh, PA 15222"
What are the types of teams mentioned that the Pittsburgh Downtown Partnership is seeking individuals to join?,Outreach Ambassadors and Clean Teams,Clean & Outreach Teams
What type of activities do Outreach ambassadors perform according to the document?,"The activities performed by the outreach ambassadors include presentations, programs, community-sponsored events, meetings and workshops to educate and provide resources for the general public. They also coordinate and maintain numerous public safety initiatives and utilize various forms of media to disseminate information.","Connecting individuals on the streets with local social service outreach programs, organizations, and helpful resources"
What is one of the tasks performed by Clean Team members?,Cleaning graffiti,"Clean up litter, answer questions, and work to beautify the neighborhood"
What year is mentioned in the copyright notice at the bottom of many pages?,The year mentioned is 2018.,2025
What is the contact phone number for the Pittsburgh Downtown Partnership?,"No, the paragraph does not provide a direct answer to this question. However, we can infer from the given information that the phone contact number is 412 566 4190 and the email address is info@pittsburghdowntownpartnership.org.",412-566-4190
What email option is provided for contacting the Pittsburgh Downtown Partnership?,"The email options provided are: 
1. To contact the Downtown Pittsburgh Partnership directly, send an email to:
Email Address: info@pittsburghdowntownpartnership.org
2. For any questions, concerns, or feedback, the email address provided is for general inquiries and can be used by anyone. The contact person is listed as ""Contact Us.""
3. There is no specific email mentioned for applying online to become a member. However, it is mentioned that the membership levels and application process are available on their website, so one would need to visit the website to access this information.",Email Us
Which historic building is mentioned as being located at 210 Sixth Avenue?,The historic landmark building mentioned is the One Liberty Place.,K&L Gates Center
What is the name of the new retail space for entrepreneurs that was set to open in the fall?,2023 Featured,Ensemble on Fifth
How much investment has Downtown Pittsburgh received since 2006 according to the document?,",564 $ 51,722% 52 - PERFORMANCE-BASED INCOME TAXES & FEE INCREASES 53 - PROJECTS & INFRASTRUCTURE $ 1,049,999  1,054,998  5,005  % 53-PROFESSIONAL-&-TECH-SERVICES  53-PUBLIC-WORKS  54 - TRANSPORTATION  55 - PUBLIC-HEALTH  56 - COMMUNITY-DEVELOPMENT  57 - CIVIL-ENGINEERING  58 - ELECTRICITY  59 - ENERGY  60 - WATER  61 - WASTE-DISPOSAL  62",$7.48 billion
What month and day is St. Patrick's Day scheduled for in 2025?,"The answer cannot be determined from the given information. The context does not provide any information about the month or day of the year, so it is impossible to determine the date for 2025. It is also possible that the event has been rescheduled or moved to a different location.","March 15, 2025"
"What volunteer opportunity is mentioned for April 26 - May 3, 2025?","There is no direct answer to this question from the given context as it is not explicitly mentioned. However, it can be inferred that the award is given to alumni who have made significant contributions in their professional field or have shown exceptional leadership skills. It is also mentioned that financial contributions and volunteer work solicited for fundraising purposes are not eligible for consideration.",Redd Up Week
What is the estimated annual spending power in Downtown Pittsburgh mentioned in the document?,(projected)2023 (estimated) 2024 (budget)  0.1% 0.2% 1.3% 2% 3.4% 4.6% 6.7% 7% 8% 9% 10% 11% 12% 13% 14% 15% 16% 17% 18% 19% 20% 21% 22% 23% 24% 25% 26% 27% 28% 29% 30% 31% 32% 33% 34% 35% 36% 37% 38% 39% 40% 41% 42% 43% 44% 45% 46% 47% 48% 49% 50% 51% 52% 53% 56% 57% 58% 59% 60% 61% 62% 63,$160 million
How many residents are mentioned to be in Downtown Pittsburgh in the retail section?,"The number of residents mentioned in downtown Pittsburgh's retail area is not explicitly stated. However, it can be inferred that there are a significant number, as it is mentioned that the area has a ""vibrant"" and ""distinctively"" ""residential"" environment, with a total of 131,500 workers. Additionally, the mention of ""millions"" of visitors and a combined ""spending power"" suggests a large population. Therefore, a reasonable estimate would be around 30-40,0000 residents.","31,000"
How many workers are mentioned to be in Downtown Pittsburgh in the retail section?,"The paragraph does not mention the exact number of workers in downtown Pittsburgh, but it does mention that there are 130 thousand workers. Therefore, the correct answer is 130.000.","130,000"
What type of program does the Pittsburgh Downtown Partnership coordinate to engage with patrons?,The small business spotlight program coordinates with downtown businesses to support and strengthen their businesses.,Small Business Spotlight program
What is the maximum monthly rent subsidy offered in the Downtown Rent Abatement Program?,"There is no direct answer to this question as it is not explicitly stated. However, it can be inferred from the paragraph that the program offers a rental subsidy for businesses seeking to establish themselves in downtown Pittsburgh. It also mentions that businesses must be actively negotiating a lease in order to apply, which suggests that there may be a limit to how many businesses can receive funding at any given time. Additionally, the mention of a ""rolling basis"" for accepting applications implies that only a certain number of businesses are selected for funding each month. Without further context or information, we cannot determine the exact maximum amount of subsidy or the specific criteria for selection.","$2,000 per month"
What is the cap on the number of months for the rent subsidy in the Downtown Rent Abatement Program?,"There is no mention of a specific cap for rent subsidies, so it is not possible to determine the exact cap from the given information. However, it can be inferred that there is a limit to how much the program will subsidize, as it states that the maximum subsidy is $1,500 per year and the total subsidy cannot exceed $3,750 over the course of three years. It is also mentioned that businesses must be actively negotiating a lease, which suggests that they may not be able to receive the full subsidy if they are unable to secure a long-term lease agreement.",12 months
What is required before applying for the Downtown Rent Abatement Program?,The business must be actively negotiating a lease for their potential Downtown location.,Having a potential location identified and being in active lease negotiations
Who should potential DRAP applicants consult with before applying?,The potential applicants should consult the alumni association or the career development center at Carnegie Mellon University (CMU).,PDP's Senior Director of Economic Development
What percentage of monthly rent can be subsidized through the DRAP program?,50%,Up to 50%
What type of lease is required for the Downtown Rent Abatement Program?,A competitive lease subsidy program.,Multi-year lease
Where can someone submit an event or activity for inclusion in the Downtown calendar?,"The answer to this question cannot be directly found within the paragraph. However, it can be deduced that one can submit their event/activity Downtown by filling out an application available on their website.",For free here (via the website)
What can be found on the CMU Alumni Association Board according to the document?,"The document does not provide a specific answer to this question. However, it does mention that the board members are diverse in terms of their backgrounds and interests, which suggests that there may be a variety of topics and initiatives that they could be involved in. Additionally, the fact that one board member is retired and from a different state may suggest that he or she could bring unique perspectives and insights to discussions and decision-making processes.",A diversity of thought
What is highlighted as a common characteristic of AAB members?,"AAB members are known for their dedication, love, creativity, professional experience, volunteerism, leadership, diversity, passion, caring, accomplishment, enthusiasm, impact, making a difference, connection, engagement, involvement, community, surrounding, fellow, alumni.",A dedication and love for CMU
What is the Carnegie Mellon quoted cutoff date for reliable knowledge?,2025,October 2024
Who won the US Presidential election in 2024 according to the document?,"The document does not provide any information about the winner of the 2024 US presidential election. Therefore, we cannot answer this question with the given information.",Donald Trump
Who was defeated in the 2024 US Presidential election?,"June 2, 2020 0
Answer:",Kamala Harris
When was Donald Trump inaugurated according to the document?,"The document states that Trump's inauguration took place on January 20th, 2017.","January 20, 2025"
What is the date listed for the next Downtown Development Activities Meeting?,March 13,"Thursday, March 13 at 5:00 PM"
What platform will be used for the Downtown Development Activities Meeting in March?,Zoom,Zoom
What is the Meeting ID for the Downtown Development Activities Meeting in March?,"There is no direct answer to this question as it is not mentioned or inferred from the paragraph. However, it can be logically deduced that the meeting ID would be the same as the date and time mentioned, which is ""March 13, 5 PM"". This is because meeting IDs are typically used to identify a specific event or meeting and are usually provided by the organizer or platform hosting the event. In this case, since the DAM meeting is being held on Zoom and the details are provided, we can assume that it would also have a unique ID.",833 1176 5328
What is the passcode for the Downtown Development Activities Meeting in March?,The answer to this question cannot be determined from the given context as there is no mention of any specific project that requires a development activities meeting.,847867
What is the VCA mentioned in relation to volunteering?,"The Volunteer Contribution Award (VCA) is an award given to individuals who have made exceptional contributions and shown outstanding leadership through their volunteer work. These contributions can be in various fields, but they must have had a significant and positive impact. It is not necessary for the contributions to have been widely recognized, as long as they are important and valuable.",Volunteer Commitment Agreement
"What entity partnered with PDP to develop a ""Playbook-for-Retail-Success""?",". With over 20 years of experience in human resources and a passion for helping businesses thrive, our team is dedicated to providing top-notch talent acquisition and management services. We pride ourselves on our commitment to diversity and inclusion, as well as our ability to adapt to the ever-changing needs of the business world. Our goal is simple: to help businesses find and retain the best talent, so they can achieve their goals and reach new heights of success. As a business owner myself, I understand the challenges and opportunities that come with running a company. That's why I founded HRSolutions with a mission to provide exceptional service and support to businesses of all sizes. Whether you're looking to hire your first employee or expand your team, we're here",Duquesne MBA students
Where is PiratesFest 2025 scheduled to be held?,The paragraph does not provide enough information to answer this question.,David L. Lawrence Convention Center
What is presenting PiratesFest 2025?,"The Pirates are hosting a series of special events for their fans in 2025. One of these events is called ""Faith and the Game"" where fans can meet and interact with their favorite Pirates and learn about how faith has impacted their lives. Another event, ""WWE vs. Pirates,"" is a unique opportunity for fans to experience the thrill of both baseball and WWE in one night. Additionally, there will be a ""Healthcare Heroes"" event to show appreciation for local healthcare workers. These events are a great way to engage with fans and create a sense of community around the team.",RE/MAX Select Realty
What special access do Pirates Season Ticket Holders get for PiratesFest?,"Pirates season ticket holders get early and loaded access, which means they can enter the stadium before the general public and also get discounts on food and beverages, as well as merchandise. They can also enjoy a free lunch with their game tickets. Additionally, they may be eligible for discounted tickets if they are part of a larger group, such as a school, company, or organization. However, the paragraph does not mention any specific discounts for students or military personnel.",Early access from 9:00 a.m. to 10:00 a.m. each day
What are the general public hours for PiratesFest?,"1. Pirates Fest is held annually on Labor Day weekend. 
2. There are two types of tickets available for purchase: general admission and suites. General admission tickets can be purchased online or at the box office, while suites can only be booked in advance through the Pirates website or by calling the ticket office. Both tickets include access to all game day activities and concessions, but suites offer additional amenities such as a private box, luxury seating, and complimentary food, drinks, entertainment, merchandise, parking, valet and concierge services. Additionally, suites are available on a first-come-first-serve basis, so it's important to book them as soon as possible. It's also worth noting that the cost of suites is",10 a.m. to 2 p.m.
What was the amount of investment mentioned that Downtown Pittsburgh surpassed in the last ten years in the retail environment?,"The paragraph does not provide a specific answer to this question. However, we can infer that the investment amount mentioned is in billions of dollars.",$4.5 billion
"What is the name of the report that gives meaning to data, statistics, and trends produced by PDP?","There is no specific answer to this question, as it is not mentioned or implied within the paragraph. However, one possible answer could be: ""The report is called the 'DPP Annual Report'.""",State of Downtown Pittsburgh Snapshot Reports
What is the status of Carnegie Mellon Today according to the FAQ section?,"Carnegie Mellon is described as a ""private research"" university. This means that it is not a public institution and receives funding from private sources, such as donations and endowments, in addition to government funding. The university is also known for its focus on research, with a strong emphasis on innovation and pushing the boundaries of knowledge.",It is no longer published
During what years was Carnegie Mellon Today distributed as a web-based publication?,"It is not explicitly stated, but we can infer that the publication was distributed during the years when the web was widely used and accessible, which would be the late 20th and early 21st century.",From September 2015 to July 2017
What is required to access and use the CUC fitness facilities?,"Only those who have a ValidCMUID, such as a Student, Faculty, or Staff, are allowed access to and the use of the facilities provided by the Center for University Campus Recreation (CUC). For any additional inquiries, you are advised to get in touch with the athletics department at the provided contact number. You can also find more information about the university and its campus, as well as directions to reach it, by visiting the official website of Carnegie-Mellon University. It is important to note that due to limited parking space, especially during weekdays, the majority of parking slots on-campus are reserved exclusively for the benefit of faculty members, employees, students with valid parking lease agreements. However, some parking areas are also",A valid CMU ID
What time do university parking lots open to the public at no charge?,"Format  B. An  explanatory  table  that  shows  each  category of  parking, the total  charge  per  hour  or  day  (including  taxes) and the number of hours or days  available for  rental.  For  example:  All Day  Parking   $5.99  Special  Event  Day  Rate  Weekly Lease  Monthly   Lease   Annual   LEASES  HOURS  Available  Total  Charge  Per  Hour  Including  Taxes  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15",After 5 p.m. each day and during the weekends
How many visitor parking spaces are available by prior reservation in the Alumni House parking lot?,"at  412-268-7000 to reserve a space. Please note that there is a $5 fee for parking in this area, which will be added to your bill at the end of your visit. You may also park in any of the on-campus parking garages or lots, but please be aware that these are all paid parking areas and you will need to purchase a parking pass to use them. The cost of parking varies depending on where you park and how long you plan to stay, so be sure to check the rates before you arrive. In addition, there may be additional fees or restrictions for certain types of vehicles, such as motorcycles or RVs. Finally, if you are planning to park for an extended period of time,",Two
What type of email address does CMU offer to alumni?,G Suite,@alumni.cmu.edu email address
What powers the alumni email accounts at CMU?,"The alumni emails at the Carnegie Mellon University (CMU) are powered solely by Google's suite of services, known as ""G Suite"". This includes the email service, Google Drive, and Google Calendar, among others. The emails are exclusively available to alumni and can be accessed through a unique email address, which is automatically provided to those who graduate from classes starting in 2015 or later. However, alumni who have graduated earlier can also request access to these emails.",G-Suite
What feature of the alumni email accounts provides unlimited storage?,"The email account feature that provides ""unlimited storage"" is the one that allows alumni to store all their messages, contacts, and calendar entries without any storage limit. This feature is exclusive to alumni who have a full-time @Alumni@CMU@email.com account, which they can obtain by signing up for a free account at https://www.alumniacommunity.org/sign-up.",All messages with unlimited storage
What happens to a student's @andrew.cmu.edu email alias approximately 90 days after graduation?,"The student’s @Andrew.CMU.EDU alias ceases to operate approximately ninety days post-graduation. However, they can still access their account by logging into their @GSuiteAlumni email. They can also forward their emails to another account using Google forwarding.",It will cease to function
What is the deadline mentioned for alumni to enroll in two-factor authentication for their alumni email?,"The deadline for all alumnus/alumnae of the University of Pittsburgh at Johnstown (U.P.J.) to sign up for two factor authentication is December 14th, 2022. This information is not directly mentioned in context but can be inferred from a similar process described in a paragraph about the enrollment of alumni at Carnegie Mellon University. The paragraph states that all users of their email addresses, including alumni, must enroll by a certain date, and that this process provides an extra layer of security. Therefore, it is reasonable to assume that the same process would apply to alumni of U. P. J.","December 15, 2021"
What scholarship percentage is available for CMU's new online graduate certificate programs for alumni?,20%,Up to 20%
What is the name of the event that has been one of the most anticipated weekends of the year for over 100 years at CMU?,"The event is called ""Spring Carnival.""",Spring Carnival
What event allows Tartans from around the world to return to campus in the spring?,Spring Carnival,Spring Carnival
What activities are mentioned as part of Spring Carnival?,"The activities mentioned are:
1. Booth 
2. Scotch 'n Soda performances
3. The Keltie band concert
4. Midweek activities
5. All-Campus Community lunch","Booth, Buggy, MOBOT, Scotch'n'Soda performances"
When does the Pittsburgh Technology Council's HBCU Swingman Classic take place?,March 13th,"July 11, 2025"
Where is the HBCU Swingman Classic scheduled to be held?,"Tickets: 198 Apr 11 2025 10:15 AM Thu Palast Theatre- PA - Tickets are on sale now! Prices start at $22.50. Tickets will be available for purchase at the box office on Thursday, April 11, from 10 a.m. to 2 p. m. Available tickets are limited and will sell out quickly! Tickets can also be purchased online at www.palasttheatre-pa.com or by phone at (724) 776-7000. Apr 13, 2025 9:45 AM Wed Palace Theatres - Prices are now available online. Prices range from as low as $8.00 to as high as over $100, depending on seat location and time of purchase. For more information","Truist Park in Atlanta, Georgia"
Where is the All-Star Saturday event scheduled to be held in 2025?,"The event is scheduled for July 10, 2021.",Truist Park & The Battery Atlanta
What is the date for the T-Mobile Home Run Derby in 2025?,There is not enough information to answer this question. The paragraph does not provide any information about future events or dates.,"July 14, 2025"
Where will the T-Mobile Home Run Derby be held?,"1. The T–Mobile home run derby is going to be hosted at Estado de México Supermonterey in Mexico on March 24th and 25th in 2025
2. Estudiantes de La Plata will be playing against Club Atlético Independiente in a friendly match on April 1st in Buenos Aires, Argentina
3. On April 2nd, Club de Gimnasia y Esgrima Lapland will face off against Deportivo Español in La Paz, Bolivia
4. Club Nacional de Football will play against C.A. Cerro Porteño in Asunción, Paraguay
5. Cienciano will go up against",Truist Park
What is the date for the MLB All-Star Game in 2025?,"There is no specific date mentioned for any of the games or events. However, we can make some educated guesses: 
- The MLB all-star game is usually held in July or August, so it could be in either of those months. We don't have enough information to determine the exact date, but it's likely to be sometime between July and August of 2025 (since the paragraph mentions that it will take place ""in 2025"" and we know that 2025 is a leap year).
 - The game between Atlanta and Bristol is on a Sunday in August. Since August has 31 days, the game must be on either the 17th or the 18th, since those are the only two Sundays that fall on those dates. Therefore,","July 15, 2025"
What company is presenting the MLB All-Star Game in 2025?,MLB Pipeline,Mastercard
Where is the MLB Speedway Classic scheduled to be held?,"comes down to who can hit the most home runs in a single round. The winner will be crowned the HomeRun Derby champion and take home a grand prize of $50,000 and a trip for two to the World Series. Home run derby champion will also be featured in an upcoming MLB video game, MLB The Show 26. MLB.tvMLB.TV
Atlanta-Fulton County Stadium Atlanta, GAJuly 13-14, 2026
AT&T Park San Francisco, CAJuly 14-15, 2024
Citi Field Queens, NYJuly 16-17, 2022
Wrigley Field Chicago, ILJuly 17-18, 2021
Comerica Park Detroit, MIJuly 18-19, 2020
Coors Field",Bristol Motor Speedway
What date is the MLB Speedway Classic scheduled for?,"There is no specific date mentioned for any of these events. However, we can make some educated guesses:
- The MLB Speedway Classic is likely to be held sometime in July, as it is mentioned that it will be hosted by Atlanta in that month. The date could be any day between July 1st and July 31st, but we do not have enough information to determine the exact date. 
Follow-up questions and answers (based on common sense knowledge and reasoning):
1. Why do you think the event is called the ""MLB"" speedway classic? (Possible answer: It is most likely a baseball-themed event or competition.)
2. Can you make any assumptions about the location of this event based","August 2, 2025"
Which teams will play in the MLB Little League Classic in 2025?,"The teams that will be playing in MLB's Spring 2021 season are:
1. Los Angels Dodgers
2. Chicago Bulls
3. Boston Celtics
4. Miami Heat
5. Houston Rockets
6. San Antonio Spurs
7. Philadelphia 76ers
8. Toronto Raptors
9. Golden State Warriors
10. Cleveland Cavaliers
11. New Orleans Pelicans
12. Atlanta Hawks
13. Washington Wizards
14. Dallas Mavericks
15. Minnesota Timberwolves
16",Seattle Mariners and New York Mets
Where will the MLB Little League Classic be held?,"on Saturday, July 13, as MLB hosts its annual All Star Saturday event at AT&T Stadium in Arlington, Texas. AT & T StadiumArlington, TXJuly 13-14, 2026 The first-of-its-kind MLB Speedway Classic will be hosted by the Milwaukee Brewers at Miller Park in Milwaukee, Wisconsin, on June 15-16, 2022. Milwaukee County StadiumMilwaukee, WIJune 15 & 16, 2024","Historic Bowman Field in Williamsport, Pennsylvania"
When is the MLB Little League Classic scheduled?,"MLB Summer Series will kick off on Friday, August 1, at Citizens Bank Park in Philadelphia. The Philadelphia Phillies will face off against the Washington Nationals in front of a sold-out crowd of more than 40,000 fans. Philadelphia, PA","August 17, 2025"
Who is presenting the MLB Little League Classic?,".C. Nationals MIL Washington Nationals R.H.E. 8:00 PM EDT MLB.com/MLB.tv/TruistPark/SpringTraining
Answer: The answer is not explicitly stated, but it can be inferred that MLB is the presenting organization for this event. The context mentions that the event is a ""philanthropic"" and ""educational"" all-star week, which suggests that it is organized by a sports organization. Additionally, it mentions the involvement of ""historically black colleges and universities,"" which further supports the idea that this is an MLB event, as the league has a long history of supporting and promoting diversity and inclusivity in baseball.",New York Life
What is the date when the Dodgers and Cubs will play to open the 2025 MLB regular season?,"2023-2024 MLB Spring Training Schedule
The 2022 MLB spring training schedule has been released, and it looks like it's going to be an exciting one. There will be 16 games in total, with teams playing against each other in four different locations. Some of the games will take place in Florida, while others will happen in Arizona. Fans can expect to see some of their favorite players in action, as well as some up-and-coming prospects. So mark your calendars and get ready for some great baseball action! Here's the full schedule:
Game 1: Tampa Bay Rays vs. Miami Marlins
Location: Tropicana Field, St. Petersburg, Florida
Date: March 12-14, 2022
Starting Lineups","March 18-19, 2025"
Where will the opening 2025 MLB regular season games between the Dodgers and Cubs be played?,The opening games of the 2025 Major League Baseball (MLB) season are scheduled to take place in Tokyo and Atlanta.,"Tokyo Dome in Tokyo, Japan"
What is the name of the series presenting the opening games between the Dodgers and Cubs?,4 X 1 H R E 2 6 0 7 7 1 1 6 3 2 4 3 X 2 H 1 R R 2 7 3 1 7 2 2 5 3 5 4 2 R 3 H 3 R 4 H 5 R 6 R 7 R 8 R 9 R 10 R 11 R 12 R 13 R 14 R 15 R 16 R 17 R 18 R 19 R 20 R 21 R 22 R 23 R 24 R 25 R 26 R 27 R 28 R 29 R 30 R 31 R 32 R 33 R 34 R 35 R 36 R 37 R 38 R 39 R 40 R 41 R 42 R 43 R 44 R 45 R 46 R 47 R 48 R 49 R 50 R 51 R 52 R 53 R 54 R 55 R 56 R 57 R 58,Tokyo Series presented by Guggenheim
What venue will host the exhibition games between the Boston Red Sox and the Sultanes de Monterrey?,"The venue that will be hosting the exhibitions games is the Estadio Tecnológico Benito Juárez, also known as the Tecate Stadium. This stadium is located in Mexico City and has a capacity of over 50,000 people. It is primarily used for football matches, but it has also hosted other events such as concerts and international sporting events.",Estadio Mobil Super
On what dates will the Red Sox and Sultanes de Monterrey play their exhibition games?,"to change. *If you have any questions or comments, please contact us at [email protected]","March 24-25, 2025"
In which country will the Red Sox and Sultanes de Monterrey exhibition games be played?,Mexico,Mexico
What pitcher dealt with right lat tightness during Spring Training for the Pirates?,"Based on this information, it can be inferred that the pitcher who suffered from right tight lat muscles during spring training for Pirates is Daudi Moreata. This is because the paragraph mentions that he was dealing with this issue and it affected his performance, leading to his injury. It is also mentioned that this was not a new issue for him, indicating that it may have been a recurring problem. The paragraph does not mention any other pitcher by name, so it is safe to assume that Moreatta is the one being referred to.",David Bednar
What injury did Pirates catcher Endy Rodríguez suffer that caused him to miss the entire 2024 season?,Elbow injury.,UCL reconstruction surgery on his right elbow
Which Pirates player suffered a partial tear of his left Achilles tendon in 2023?,Endy Rodriguez,Andrew McCutchen
What injury did Oneil Cruz suffer on April 9 according to the document?,"16, 2022 ShareShare EmailCopy Link Share August 15, 2021 Share
Answer: Lower back injury.",Fractured left ankle
Which pitcher for the Pirates re-aggravated his right elbow in his first start off the injured list?,"The pitcher who reagraded his elbow is not mentioned in this context and cannot be determined from the given information. However, it can be inferred that it could be any pitcher as there is no mention of a specific pitcher's name in relation to their injury.",Vince Velasquez
What type of surgery did Tucupita Marcano need to undergo?,"ovine Transplantation (ISBT) in 1997.[273][274]
The hospital is a Level I trauma center, the highest level of trauma care in Pennsylvania. It is also a regional referral center for burn care, neurosurgery, orthopedics, cardiology, oncology, urology, ophthalmology, otolaryngology (ear, nose and throat), and other specialties.[275][276][277][278][279][280][281][282][283][284][285][286][287][288][289][290][291][292][293][294][295][296][297][298][299][300][301][302][303][304][305][306][307",Season-ending surgery to repair a torn right anterior cruciate ligament
What was Ke'Bryan Hayes diagnosed with when he was placed on the 10-day IL?,Lower Back Inflammation,Lower back inflammation
Which Pirates player underwent wrist surgery according to a February 2025 update?,"Based on this information, it is not possible to determine with certainty which Pirates players underwent specific surgeries. However, we can make some educated guesses:
1. Daudi Moreata underwent a surgery for a wrist injury. This is inferred from the fact that he was a top-performing pitcher and his injury affected his performance, leading to him undergoing surgery in late 2022. 
2. The information does not provide any specific details about the injury or the surgery of any other player. We can only assume that other players may have undergone surgeries for various injuries or conditions, as injuries are common in sports and can affect any player at any time. It is also possible that some players did not undergo any surgeries and instead opted for other forms of treatment",Spencer Horwitz
How long was Spencer Horwitz expected to recover from his wrist surgery?,"2023
Answer: It is not explicitly stated, but it can be inferred that he will recover in approximately six to eight weeks.",6-8 weeks
What injury was Johan Oviedo dealing with when placed on the 60-day IL?,"The injury is to his right Lat muscle, which is a muscle in his upper back.",Right lat muscle injury
Which doctor did Johan Oviedo consult with regarding his injury?,"The doctor that Duri Moreata consulted with about his arm injury is not mentioned in this paragraph. However, it can be inferred that it was likely a specialist in sports medicine or orthopedics, as the paragraph states that he was consulted by a ""surgeon"" and that the injury was to his ""arm.""",Dr. Keith Meister
Which Pirates prospect was rated as the organization's No. 18 prospect according to Baseball America?,"According to the paragraph, there is no mention of any Pirates prospects being rated by Baseball American. Therefore, we cannot answer this question with information from the given paragraph. We would need additional information or context to provide an answer.",Omar Alfonzo
Who did the Pirates acquire from the Boston Red Sox in exchange for minor league right-handed pitcher Matt McShane?,"the new color commentator for The Pirates Radio Network, joining the team after spending the past two seasons as an analyst on Pirates TV broadcasts.Brault has been a Pirates fan since he was a young boy, and his love for baseball has only grown stronger over the years. In addition to his role as color analyst, he will also provide play-by-play commentary for select games throughout the season, bringing his unique perspective and expertise to the broadcast booth. Fans can look forward to hearing his insights and analysis as they watch their favorite team take on their rivals on The Pirate's radio network. 
ANSWER: The answer can be found by looking at the sentence that follows the question. It says, ""The Pittsburgh Penguins today signed free agent defenseman",Chase Shugart
Which pitcher did the Pirates acquire from Toronto in exchange for cash considerations?,"at answering the question, “Who will win the World Series in 2023?” The answer, of course, depends on a number of factors, including the strength of each team, the performance of individual players, and a host of other variables that are impossible to predict with any degree of certainty. However, by looking at some key statistics and trends from past seasons, we can make some educated guesses about which team is most likely to come out on top. In this blog post, I will take a closer look at these factors and provide my own analysis of who I think will emerge as the victor in next year's championship series. First and foremost, it's important to note that there is no one-size-fits-all",Brett de Geus
Who was designated for assignment by Toronto on January 10 before being acquired by the Pirates?,". Since then, Greg has worked in a variety of capacities for the organization, including as an announcer, color commentator, studio host, pregame and postgame host and studio analyst. He has also served as director of player development and assistant to the general manager, as well as being a part-time broadcaster for WQED-TV in Pittsburgh and WTAE-AM radio. Brown has won numerous awards for his work in baseball broadcasting and was inducted into the National Sportscasters and Sportswriters Association Hall of Fame in 2014.",Brett de Geus
